field name;type;description
balance_tenor_1_low_interest_active_sum;FLOAT;
balance_tenor_1_low_interest_active_sum_over_balance_active_sum;FLOAT;
balance_tenor_1_low_interest_allcondition_sum;FLOAT;
balance_tenor_1_low_interest_allcondition_sum_over_balance_all_sum;FLOAT;
balance_tenor_1_low_interest_chargeoff_sum;FLOAT;
balance_tenor_1_low_interest_paidoff_sum;FLOAT;
balance_tenor_1_paidoff_sum;FLOAT;
balance_tenor_2to11_active_sum;FLOAT;
balance_tenor_2to11_active_sum_over_balance_active_sum;FLOAT;
balance_tenor_2to11_allcondition_sum;FLOAT;
balance_tenor_2to11_allcondition_sum_over_balance_all_sum;FLOAT;
balance_tenor_2to11_chargeoff_sum;FLOAT;
balance_tenor_2to11_high_interest_active_sum;FLOAT;
balance_tenor_2to11_high_interest_active_sum_over_balance_active_sum;FLOAT;
balance_tenor_2to11_high_interest_allcondition_sum;FLOAT;
balance_tenor_2to11_high_interest_allcondition_sum_over_balance_all_sum;FLOAT;
balance_tenor_2to11_high_interest_chargeoff_sum;FLOAT;
balance_tenor_2to11_high_interest_paidoff_sum;FLOAT;
balance_tenor_2to11_low_interest_active_sum;FLOAT;
balance_tenor_2to11_low_interest_active_sum_over_balance_active_sum;FLOAT;
balance_tenor_2to11_low_interest_allcondition_sum;FLOAT;
balance_tenor_2to11_low_interest_allcondition_sum_over_balance_all_sum;FLOAT;
balance_tenor_2to11_low_interest_chargeoff_sum;FLOAT;
balance_tenor_2to11_low_interest_paidoff_sum;FLOAT;
balance_tenor_2to11_paidoff_sum;FLOAT;
balance_unsecured_sum;FLOAT;
balance_unsecured_sum_over_plafond_all_sum;FLOAT;
balance_working_capital_active_sum;FLOAT;
balance_working_capital_active_sum_over_balance_active_sum;FLOAT;
balance_working_capital_allcondition_sum;FLOAT;
balance_working_capital_allcondition_sum_over_balance_all_sum;FLOAT;
balance_working_capital_chargeoff_sum;FLOAT;
balance_working_capital_paidoff_sum;FLOAT;
collection_pbs_phase2_channeling_active_max;INTEGER;
collection_pbs_phase2_channeling_active_min;INTEGER;
